Trial,Timestep,"ESG.Assets.EquityAssets.E_GBP.Sigma.StandardisedVolatility"
67,5,0.0464956722963398,
67,6,0.0522104054791926,
67,7,0.0888860341655321,
67,8,0.193759451626947,
67,9,0.393865175240381,
67,10,0.375968453287088,
68,0,0.109142808879906,
68,1,0.133435428638618,
68,2,0.247880499264748,
68,3,0.27083612154753,
68,4,0.430568817412815,
68,5,0.5399683362803,
68,6,0.579839227120469,
68,7,0.584247977759389,
68,8,0.487624165829064,
68,9,0.287380672949755,
68,10,0.233576628629597,
69,0,0.109142808879906,
69,1,0.112118356101356,
69,2,0.0657845738303488,
69,3,0.109021697242432,
69,4,0.131225917331604,
69,5,0.0984380961483298,
69,6,0.0400137081017891,
69,7,0.172913492815319,
69,8,0.200608429111846,
69,9,0.0638094375331532,
69,10,0.0772092882169575,
70,0,0.109142808879906,
70,1,0.147418666475549,
70,2,0.186327103200965,
70,3,0.286186046589573,
70,4,0.326987938139681,
70,5,0.382173630861454,
70,6,0.425988786994362,
70,7,0.399512576780471,
70,8,0.391412238084203,
70,9,0.457356248461262,
70,10,0.468902380194056,
71,0,0.109142808879906,
71,1,0.123592415893126,
71,2,0.0849966169473942,
71,3,0.106333212003502,
71,4,0.115912577887765,
71,5,0.088887060917377,
71,6,0.155223740383202,
71,7,0.157152640341379,
71,8,0.121209341877162,
71,9,0.0850816247667395,
71,10,0.0668009823302044,
72,0,0.109142808879906,
72,1,0.111415763855555,
72,2,0.186713793214098,
72,3,0.261709299885875,
72,4,0.196931784361372,
72,5,0.297764560895211,
72,6,0.312966246413364,
72,7,0.268944377905927,
72,8,0.27937854453339,
72,9,0.317787337293588,
72,10,0.440372316098079,
73,0,0.109142808879906,
73,1,0.150030627287685,
73,2,0.188840858562592,
73,3,0.220776468120306,
73,4,0.137323722597212,
73,5,0.192475732680863,
73,6,0.230345654642701,
73,7,0.253269647548289,
73,8,0.326123506477486,
73,9,0.247967693165576,
73,10,0.169959103571221,
74,0,0.109142808879906,
74,1,0.116878628799767,
74,2,0.0990746859477645,
74,3,0.176428440545738,
74,4,0.237496588355978,
74,5,0.184461730736362,
74,6,0.182207573379847,
74,7,0.137622506911934,
74,8,0.0787792630144412,
74,9,0.2290341715925,
74,10,0.302526939374713,
75,0,0.109142808879906,
75,1,0.147608114006749,
75,2,0.108142226691254,
75,3,0.102366349101399,
75,4,0.144649006054448,
75,5,0.0913585848960309,
75,6,0.202553863446299,
75,7,0.181064086912322,
75,8,0.148675470365609,
75,9,0.0635519449882544,
75,10,0.113945795146365,
76,0,0.109142808879906,
76,1,0.106550025037567,
76,2,0.19697168702192,
76,3,0.295327383530822,
76,4,0.273781789027074,
76,5,0.248620896643637,
76,6,0.327300569095061,
76,7,0.199183417527744,
76,8,0.281031098805974,
76,9,0.421136165436829,
76,10,0.372257498528508,
77,0,0.109142808879906,
77,1,0.111954364779114,
77,2,0.104012132116318,
77,3,0.116656434348775,
77,4,0.16755525695472,
77,5,0.165408108043987,
77,6,0.118780017547221,
77,7,0.0781063401924473,
77,8,0.150358839365091,
77,9,0.141414947696607,
77,10,0.203113526767825,
78,0,0.109142808879906,
78,1,0.122005903118715,
78,2,0.211070629473883,
78,3,0.255026409468343,
78,4,0.289116173551254,
78,5,0.195571204892896,
78,6,0.306726389113803,
78,7,0.356103569908032,
78,8,0.344739633096342,
78,9,0.326498265147995,
78,10,0.297851950635075,
79,0,0.109142808879906,
79,1,0.0997856085154371,
79,2,0.12081320018187,
79,3,0.183691184082254,
79,4,0.33633288623069,
79,5,0.366454239905188,
79,6,0.38336205394859,
79,7,0.332818247391606,
79,8,0.247349805542257,
79,9,0.226184709900229,
79,10,0.319870158242585,
80,0,0.109142808879906,
80,1,0.170946664646791,
80,2,0.180600236281654,
80,3,0.147438939396975,
80,4,0.0809797688845834,
80,5,0.0888051729474519,
80,6,0.0758685316566734,
80,7,0.232572547539185,
